"","Domain","Direct_Head_Count","EBP_Head_Count","HT_Head_Count_CV","CB_Head_Count_CV","DesignEffect_CV","EBP_Head_Count_CV"
"34","1208",1,0.134698895603251,0.101300758721233,0,0,0.12900929766919
"35","1209",1,0.120766066838046,0.114094256953327,0,0,0.161939031354567
"36","1301",1,0.130995967034894,0.0943357567548077,0,0,0.0972090818036861
"37","1302",1,0.11213224893918,0.0811889993144765,0,0,0.0979766804970811
"38","1303",1,0.175236716973331,0.110759009448823,0,0,0.102407619176324
"39","1304",1,0.120553756476684,0.12174782183543,0,0,0.148339533789294
"40","1305",1,0.118472750316857,0.113926347278089,0,0,0.149891389682937
"41","1306",1,0.112647869674185,0.0793542730716376,0,0,0.0914109923120746
"42","1307",1,0.315885117493473,0.138895153859684,0,0,0.0896706496535968
"43","201",1,0.0634728795049145,0.147691673951453,0,0,0.171709272564131
"44","202",1,0.179369647139431,0.144044530212977,0,0,0.127841900921342
"45","203",1,0.155892652123995,0.150825990519907,0,0,0.123492225151645
"46","204",1,0.114181596091205,0.153553447396116,0,0,0.149571386329367
"47","205",1,0.0361631822646275,0.0695013484878964,0,0,0.208233146544268
"48","206",1,0.0409407837804426,0.0890996077107628,0,0,0.164483512508221
"49","207",1,0.0231366669890705,0.0859060581216112,0,0,0.298162781581749
"50","301",1,0.104943901556279,0.100912234637853,0,0,0.139054875319948
"51","302",1,0.120333077120164,0.0926144091754948,0,0,0.10530262503955
"52","303",1,0.123682170542636,0.233916596472667,0,0,0.149413572499809
"53","304",1,0.0889289012003694,0.141848464550582,0,0,0.187130275280969
"54","305",1,0.102369497233582,0.115494561324035,0,0,0.132403259927503
"55","306",1,0.0482960791498717,0.105758465666839,0,0,0.16004167049892
"56","401",1,0.186120491174213,0.123947416056637,0,0,0.103854827566978
"57","402",1,0.107400260190807,0.105396848733612,0,0,0.142445523115507
"58","403",1,0.148596691386195,0.164501268900844,0,0,0.122028843472741
"59","404",1,0.0867168674698795,0.108435840600451,0,0,0.133302116502123
"60","405",1,0.0715516062884484,0.0966529209938299,0,0,0.111861457919827
"61","406",1,0.0305797101449275,0.112842922473545,0,0,0.269364748297783
"62","501",1,0.287741611412497,0.0806220032431383,0,0,0.0820984431802875
"63","502",1,0.254494435235614,0.0862690829402877,0,0,0.0961028034101112
"64","503",1,0.287965970610982,0.157560165288138,0,0,0.111359866433471
"65","504",1,0.303225705329154,0.102896181034339,0,0,0.0932296201154588
"66","505",1,0.25325755903774,0.11036300481225,0,0,0.108677687384211
"67","506",1,0.375095430884905,0.132443013102006,0,0,0.0890725068896008
"68","507",1,0.261492468490624,0.143601430643505,0,0,0.101751427633749
"69","508",1,0.158175937904269,0.073159440086253,0,0,0.0751642792569337
"70","509",1,0.258694111232279,0.228767199913226,0,0,0.139736122804688
"71","601",1,0.0883334668054777,0.086273055448351,0,0,0.103089452482828
"72","602",1,0.0580493971217425,0.141181673914651,0,0,0.123967783932114
"73","603",1,0.0580015756302521,0.158334391259808,0,0,0.142240749784557
"74","604",1,0.0344489834695041,0.107009365870736,0,0,0.138921012000585
"75","605",1,0.0339601056028161,0.137400818447824,0,0,0.230756114458818
"76","606",1,0.0567663452847243,0.0846285532066171,0,0,0.0921740573649575
"77","607",1,0.00351576863244237,0.116699505807123,0,0,0.359392854616688
"78","608",1,0.029324494949495,0.0943529838553425,0,0,0.22964722655708
"79","609",1,0.00586401446654611,0.132893905663205,0,0,0.430951354466761
"80","701",1,0.423666191155492,0.14947110432835,0,0,0.0794491992759475
"81","702",1,0.193835845896147,0.157518644232172,0,0,0.124329106576965
"82","703",1,0.176904686005738,0.107052148157873,0,0,0.101966167748831
"83","704",1,0.282693039178395,0.0967814834948006,0,0,0.0767861985348869
"84","705",1,0.18749467923381,0.10931435567234,0,0,0.105575964521734
"85","706",1,0.240821367030442,0.176050512192586,0,0,0.119449167541067
"86","801",1,0.153529411764706,0.129777164761664,0,0,0.129455377689814
"87","802",1,0.132164948453608,0.115162475633655,0,0,0.123019510594244
"88","803",1,0.150843446601942,0.10478884285954,0,0,0.0951586969365887
"89","804",1,0.173739332816137,0.123135154314035,0,0,0.15035528879203
"90","805",1,0.111149825783972,0.134940007078064,0,0,0.189781213487965
"91","806",1,0.145484208324618,0.140382357141001,0,0,0.134035234908724
"92","807",1,0.275858240819812,0.217836587846648,0,0,0.142455360243943
"93","808",1,0.129630012936611,0.132909633671435,0,0,0.182799144317244
"94","809",1,0.215104032879527,0.122250601075946,0,0,0.0856610626997218
"95","810",1,0.141458797327394,0.111223681618866,0,0,0.111940465020596
"96","811",1,0.146063181230371,0.125763152139996,0,0,0.165961285342061
"97","901",1,0.193345669874167,0.14582410091326,0,0,0.13912920470211
"98","902",1,0.152219607843137,0.0785668927482434,0,0,0.0963679905507076
"99","903",1,0.285422943221321,0.159088550076136,0,0,0.0908958231589265
"100","904",1,0.227158948685857,0.178576280144806,0,0,0.131896271218271
"101","905",1,0.226642335766423,0.144027830691409,0,0,0.143794662205655
"102","906",1,0.190876068376068,0.133618242668863,0,0,0.129391404877711
"103","907",1,0.201960784313725,0.170962052878322,0,0,0.153380183182175
