"variable","smp_means","pop_means","diff","pvalue"
"wall.Finished...Wood.planks.shingles",0,0,0,NA
"wall.Finished...Woven.Bamboo",0,0,0,NA
"wall.Natural...Cane.palm.trunks",0,0,0,NA
"wall.Natural...Dirt",0,0,0,NA
"wall.Natural...Other",0.00812927530484782,0.0759661281194272,0.0678368528145794,0.808399684676794
"wall.Other",0.0267671260037672,0.0252010208549126,-0.00156610514885463,0.994446089425913
"wall.Rudimentary...Bamboo.with.mud",0,0,0,NA
"wall.Rudimentary...Cardboard",0,0,0,NA
"wall.Rudimentary...Other",0.263904034896401,0.250942368682392,-0.0129616662140089,0.983273880762486
"wall.Rudimentary...Plywood",0,0,0,NA
"wall.Rudimentary...Reused.wood",0,0,0,NA
"wall.Rudimentary...Stone.with.mud",0,0,0,NA
"wall.Rudimentary...Uncovered.adobe",0,0,0,NA
"water14.Bottled.water",0.00505601268960048,0,-0.00505601268960048,0.943172882216436
"water14.Cart.with.small.tank.drum",0.00366808763755329,0,-0.00366808763755329,0.951619542214849
"water14.Other",0.0102111628829186,0.00870289491387871,-0.00150826796903989,0.991208129839808
"water14.Piped.water.into.dwelling",0.331614949935561,0.302059863102929,-0.0295550868326315,0.964154231828178
"water14.Piped.water.to.yard.plot",0.266878160007931,0.196845601033669,-0.070032558974262,0.906270706587662
"water14.Protected.dug.well",0.0130861504907306,0.0185270216878277,0.00544087119709705,0.975387349883708
"water14.Protected.spring",0.003172400118965,0,-0.003172400118965,0.955014536490276
"water14.Public.tap.or.standpipe",0.209576682859126,0.215052270761477,0.005475587902351,0.992445930184913
"water14.Rainwater",0.00247843759294141,0,-0.00247843759294141,0.960247304011499
"water14.Surface.water",0.0296421136115793,0.0910333486390381,0.0613912350274588,0.854138082237833
"water14.Tanker.truck",0.00604738772677704,0,-0.00604738772677704,0.937830205067149
"water14.Tube.well.or.borehole",0.0781203529295132,0.101508857731695,0.0233885048021813,0.953836432211993
"water14.Unprotected.dug.well",0.0337067512640032,0.0662701421294863,0.0325633908654831,0.915617958605756
"water14.Unprotected.spring",0.00674135025280063,0,-0.00674135025280063,0.93434469775952
"waterpipe.No",0.191930207197383,0.286042265101925,0.0941120579045426,0.875245623461848
"waterpipe.Yes..in.premise",0.331614949935561,0.498905464136598,0.167290514201037,0.807551515180253
