"variable","smp_means","pop_means","diff","pvalue"
"relathh9_Domestic_help_boarder",0,0,0,NA
"relathh9_Grandchild",0,0,0,NA
"relathh9_Head",1,1,0,NA
"relathh9_Non_relative",0,0,0,NA
"relathh9_Other_relative",0,0,0,NA
"relathh9_Parents_parents_in_law",0,0,0,NA
"relathh9_Son_in_law_daughter_in_law",0,0,0,NA
"relathh9_Spouse",0,0,0,NA
"roof_Finished___Asbestos",0.0356895013383563,0.0604343781354268,0.0247448767970705,0.934696124201179
"roof_Finished___Concrete",0.048180826806781,0.00409069131394122,-0.0440901354928398,0.843593134020225
"roof_Finished___Metal_tile",0.675820362843264,0.614746684370079,-0.061073678473185,0.927931212728528
"roof_Finished___Other",0,0,0,NA
"roof_Finished___Roofing",0,0,0,NA
"roof_Finished___Roofing_shingles",0,0,0,NA
