"","CONST_ID","OBJECTID_1","OBJECTID","REGION","REGION_NUM","CONST","CONST_NUM","AREA","GAVPrimary","ID","ID1","Area1","ID2","Population","New_Consti","WHD","NorthCent","Shape_Leng","Shape_Le_1","Shape_STAr","Shape_STLe","const_merge","Head_Count"
"38",502,107,107,"Kavango West","14","Kapako","05",6180.7,23,23,376,0,123,19940,"0","0","0",168658.816096,168674.288436,1224105556.77,168674.288436,"502-kapako",0.257487568079564
"39",503,109,109,"Kavango East","06","Mashare","02",9104.3,39,39,39,0,125,16091,"0","0","0",509444.598113,510042.689232,9139888662.41,510042.689232,"503-mashare",0.287482598607889
"40",504,75,75,"Kavango West","14","Nkurenkure","02",8216,41,41,367,0,85,7120,"1","0","0",70139.1379136,70139.1367867,271858799.73,70139.1367867,"504-nkurenkure",0.264191269651327
"41",504,74,74,"Kavango West","14","Mpungu","01",8216,41,41,363,0,84,14962,"0","0","0",424168.580487,424168.579717,7976763207.68,424168.579717,"504-mpungu",0.264191269651327
"42",505,108,108,"Kavango East","06","Mukwe","01",5505.9,42,42,149,0,124,27690,"1","0","0",403145.971175,403183.069957,5540338592.16,403183.069957,"505-mukwe",0.256667402339439
"43",506,63,63,"Kavango East","06","Ndiyona","03",8058.6,43,43,150,0,73,12012,"0","0","0",361026.786009,361062.035583,5232079526.34,361062.035583,"506-ndiyona",0.37587044534413
"44",506,82,82,"Kavango East","06","Ndonga Linena","04",8058.6,43,43,389,0,93,8621,"1","0","0",330137.721828,329981.294661,2851090661.93,329981.294661,"506-ndongalinena",0.37587044534413
"45",507,80,80,"Kavango West","14","Ncuncuni","08",2086.7,88,88,377,0,90,37878,"0","0","0",171938.13877,170924.526893,1397448528.25,170924.526893,"507-ncuncuni",0.303432601880878
"46",508,50,50,"Kavango East","06","Rundu Urban","05",18.2,89,89,89,0,57,20953,"0","0","0",59201.4846858,59030.1455646,155797682.383,59030.1455646,"508-runduurban",0.161648124191462
"47",509,81,81,"Kavango East","06","Rundu Rural","06",590.1,87,87,388,0,92,22538,"0","0","0",150804.023771,150905.471188,1068573261.61,150905.471188,"509-rundurural",0.263388767720829
